2036,HAUL,HAULMARK
2039,WORT,Worthington - Trailer
2043,KAISER,Kaiser
2044,AMGEN,Amgen
0, ,
100,ACUR,Acura
110,ALF,Alfa Romeo
120,ASTN,Aston Martin
130,AUDI,Audi
140,BENT,Bentley
150,BMW,BMW
160,BUIC,Buick
170,CADI,Cadillac
180,CHEV,Chevrolet
190,CHRY,Chrysler
200,DAE,Daewoo
210,DAIH,Daihatsu
220,DODG,Dodge
230,FERRA,Ferrari
240,FIAT,Fiat
250,FORD,Ford
260,GMC,General Motors
270,GEO,Geo
280,HARLY,Harley Davidson
290,HOND,Honda
300,HUMM,Hummer
310,HYUN,Hyundai
320,INFI,Infiniti
330,ISUZ,Isuzu
340,JAG,Jaguar
350,JEEP,Jeep
360,KAWA,Kawaski
370,KIA,Kia
380,LAMB,Lamborghini
390,LAND,Land Rover
400,LEXU,Lexus
410,LINC,Lincoln
420,LOTU,Lotus
430,MASE,Maserati
440,MAZD,Mazda
450,MERC,Mercury
460,MERZ,Mercendes-Benz
470,MG,MG
480,MINI,Mini Cooper
490,MITS,Mitsubishi
500,NISS,Nissan
510,OLDS,Oldsmobile
520,PLYM,Plymouth
530,PONT,Pontiac
540,PORS,Porsche
550,RENA,Renault
560,ROLL,Rolls-Royce
570,SAAB,Saab
580,SATU,Saturn
590,SCIO,Scion
600,SUBA,Subaru
610,SUZU,Suzuki
620,TOYO,Toyota
630,VOLK,Volkswagen
640,VOLV,Volvo
650,YAMA,Yamaha
660,YUGO,Yugo
2000,AMC,American Motors
2001,DATS,Datsun
2002,INTL,International
2003,MERK,Merkur
2004,RR,Range Rover
2005,TRIU,Triumph
2006,STLG,Sterling
2007,BEAV,Beaver
2008,MACK,Mack
2009,KAWK,Kawasaki
2010,BENZ,Mercedes Benz
2011,DEL,Delorian
2012,EGIL,Eagle
2013,DUC,Ducati Cycle
2014,HANO,Hanomag Henschl
2015,LADA,Lada
2016,NEON,Neon
2017,OPEL,Opel
2018,PEUG,Peugeot
2019,PREC,Precis
2020,LNCI,Lancia
2021,JENS,Jensen
2022,WHIT,White
2023,WINN,Winnebago
2024,STUDB,Studebaker
2025,SULL,Sullair Trailer
2026,BIRM,Birmingham S A
2027,SOL,Solectria
2028,MOPED,Motor Scooter
2029,CRBI,Corbi
2030,FREI,Freightliner
2031,CHUA,Chuanl
2032,GYZZI,Gyzzi
2033,KYMCO,Kymco
2034,MOTO,Moto-Guzzi
2035,KENW,Kenworth
2038,GEM,Global Electric Motorcars
2045,HAMMU,Hamm Utility
2041,CANAM,CanAm
2040,SMARTCAR,Smart Car
2037,APRIL,Aprilia
2042,FLTWD,Fleetwood
2046,WHEEGO,Wheego
